,lang,tweet,polarity
0,en,"This, BTW, after I bought & paid for #Windows8, updated to #Windows8DOT1 b/c #Microsoft announced it wld no longer support Windows 8.#Crooks",negative
1,en,it will be very interesting to see the #tablets sales for the 2014 holidays. #iPads are now competing on price with #Android and #Windows8,neutral
2,en,"Neither my phone or laptop will allow Internet connection. Conveniently after I “upgraded"" to #Windows8.1.",negative
3,en,What a beautiful day for MissingManifestResourceException geez localization and resources in #Windows8 apps #facepalm,negative
4,en,"Just went to the store to buy a tablet, got myself a new PC ! Now I regret a littel x) #NewIn #GamingPC #Loveit #Windows8",positive
5,en,Sitting at my nans and her 84 year old friend Dot is going off about how bad Windows 8 is! Bloody brilliant 😂 #windows8,negative
6,en,A major update of StopNow for Windows 8 is currently being certified. Watch this space for an update. #windows8 #appupdate,neutral
7,en,So much aggravation with #windows8 a day lost why can't the financial services sector support Mac fed up with lousy operating systems,negative
8,en,"Sometimes software is so smart it's stupid; yes @lightroom, I'm still talking to you & #windows8 being rearends to me over the drives issue!",negative
9,en,How many times do I need to keep refreshing #windows8 must see @GreenfrogC and get it off my laptop! #efficient,negative
10,en,"After upgrading to Windows 8.1, my Bluetooth device doesn’t work. OMG I miss window xp so badly #windows8 #windows #bluetooth",negative
11,en,"If you're using #Windows8.1 with Avast anti virus, then don't install optional Windows update 'KB3000850'. Thank me later #PainInTheAss",negative
12,en,#Windows8.1 has got to be the most unfriendly OS from Microsoft. Trying 2 create a system restore point - taking forever! @MicrosoftHelps,negative
13,en,Does anybody know how I can get my computer to record sound WITHOUT feedback? I've never had this problem before. #windows8 #recording,negative
14,en,"Mama, I'm coming home [for Christmas...] (If only I could fix my #laptop & #Windows8, so I can get a plane ticket to Viena). :(",negative
15,en,"Surf #Windows8 taskbar with your arrows keys! Press Windows-T, then use the arrow keys to navigate to or interact with your running apps.",neutral
16,en,"My laptop has just been factory reset and I'm experiencing the horror of unjailbroken #Windows8. My god, I'd forgotten how awful it is!",negative
17,en,.@MIcrosoft: PS how abt fixing #IE11 glitch caused by last #Windows8 updates that fails 2 open last browsing session despite setting 2do so?,negative
18,en,I was in the middle of doing something very important. I just hope everything is still there. #OrElseIWillReplaceYouWithApple #Windows8,negative
19,en,In a few hours time I will be returning to windows phone #workingphone #windows8.1 #byebyeborrowediphone,positive
20,en,"I didn't choose the @Windows 8 life, the #Windows8 life chose me #computers #tech #nonprofitlife @ForRecovery",positive
21,en,"I believe that, sometime after the new year, I'll be changing over to a #MacBook. Unfortunately, #windows8 and @Microsoft (1/2)",negative
22,en,I'm never buying #Microsoft or #Windows #Windows8 again. Fuck it I'll save and join the #Mac life. #Windows8 suckkkkkssss asssssssss,negative
23,en,@Microsoft what is really wrong with #windows8 or #windowsphone8 ? Most people just have a negative outlook due to hearsay from the techies,neutral
24,en,@ScanSnap The #ix500 software is not compatible with my new #windows8 computer. It is supposed to be. How to fix this?? HELP!!,neutral
25,en,"@FujitsuAmerica Love the #ix500, but the software is not compatible with #windows8. On your website, it says it is. How to resolve? Help!!",neutral
26,en,"@yoitsdollyp #windows8 and especially the #startscreen thing, is very well suited for touch screens i think. Not for working with mouse/kbd.",neutral
27,en,"Just had some severe technical troubles with my PC, I need to format it. :/ #indiesvspewdiepie #badstart #Illbeback #windows8 #cyasoon",negative
28,en,@leeroy_blues Thanks for your feedback. Feel free to follow us for the latest #Windows8.1 tips and tricks. ^Helen,neutral
29,en,"Livecomm.exe, the greatest resource hog baked into #Windows8. Seriously, wtf are you doing to my disk and CPU all the time?",negative
30,en,@Office365 @Office365_Tech I am using #Office365ProPlus subscription on #Windows8.1. Its not working for #OfficeforMac. Please help.,neutral
31,en,I plan to reinstall my operating system soon to get rid of that Salus malware. Ho ve! #malware #SALUS #mess #windows8 #Antivirus,neutral
32,en,#windows8 is hot garbage it can't update itself without having to revert in changes. The store can't even open up.. NoFixesWork Failure,negative
33,en,You know it. I know it. #Windows8 is a useless piece of crap. And you still bought it just for launching chrome. ggwp,negative
34,en,@msdev I have been planning to update two messaging apps I have for #Windows8 and make one social app. My game projects are ongoing.,neutral
35,en,I've had to revert back to unsing #Windows8 from 8.1 because an 8.1 update made my #laptop almost unuseable. Absolutely maddening.,negative
36,en,Lmk why every time I turn on my computer it has to uninstall updates for 10+ minutes #windows8 #windowssurfaceproblems,negative
37,en,How do I get my Microsoft office back after refreshing windows? #Windows8 #Microsoft #Microsofthelp #anyoneplease :(,negative
38,en,"@Microsoft really? I updated Win 8.1 because it should fix problems, not generate more troubles!! #windows8 Sucks!!!",negative
39,en,First Usage of Twitter on My Laptop as an application!! Feeling annoyed by design of App #twitter #windows8.1,neutral
40,en,"@yuusharo OK that is very cool, but so does the Amazon phone (I think), which, like #Windows8, is a bad product",negative
41,en,"#petpeeve of the day. PC working fine. U shut down for the nite. #windows8 starts updating. 15 minutes later, done and nothing works right.",negative
42,en,@yuusharo @tapbot_paul On the other hand considering iWork and iLife apps now do everything @Office 365 does and more and #Windows8 stinks..,negative
43,en,@Microsoft Sometimes ur updates really fuck things up. #angry #windows8 Stop trying to add a dial up connection to my laptop w/every update,negative
44,en,If I ran @Microsoft #windows8 would stop all background tasks and do what I ask when I click a desktop icon.,neutral
45,en,Still can't find a way to dual boot #Windows8 with @planetubuntu . Any leads? #Ubuntu #DualBoot #Windows8 #MSfuckeditup,negative
46,en,#RedStripe #Windows8 #Deals Dragon's Lair / Pettson's 2 / Cauchemars des abysses 2: (Full) / CleverToDo / Odysseus: ( full ) / Caillou House,neutral
47,en,Feel like the discussion #backdrop vs #drupal8 is becoming more and more like that of #windows8 and the missing start menu.,neutral
48,en,@GymMagazine Is there any way for me to subscribe if I don't have any Apple or Android devices? #windowsphone #windows8,neutral
49,en,"New computers are in! Looking 4 quality, free online #windows8 training/webinars for our staff. Anything out there? #edtech @Microsoft_EDU",neutral
50,en,Why cant I open store on #windows8.1 and other apps. No connection in my ass😈 there is!!! @MicrosoftHelps @microsoft @MicrosoftStore 😈😈,negative
51,en,Windows 8 is like having a cunt in our office that just loves fucking shit up. Thanks you bunch of wankers @Microsoft @BillGates #windows8,negative
52,en,"#Microsoft #Windows8 I open my computer, 120 MB updates too long to download and too long for install & reboot. I close my #fucking PC",negative
53,en,Why Should @Windows Phone be @opensourceway ? #Microsoft #microsoftwindows #android #Facebook #FacebookThanks #windowsphone #windows8,neutral
54,en,"@cashiownuts Do let us know if you have any questions, Christian! We'd love to help you out on your #Windows8 PC.",neutral
55,en,@parklandaudioRD @denon_dj With a new laptop (and #Windows8) this was a good excuse to upgrade hardware too. Super slick and fun to use!,positive
56,en,I've been using #Windows8 and 8.1 since May 2014 and have had nothing but trouble. #Microsoft were insane to force this upon their users.,negative
57,en,"Windows 8 is coming to our #teachers. Any good self-training materials out there? Webinars, etc? #edtech #windows8 #microsoft #educoach",neutral
58,en,#Microsoft has broken barries of perversity with their autocratic operating system in #Windows8. Shame.,negative
59,en,#Windows8 is a disgraceful operating system which excels in over-simplyfing things or complicated simple things. Shame on microsoft.,negative
60,en,People are so focused on the new #StartScreen in #Windows8 that they fail to realize how amazing the OS is. Just use the desktop and shush!,positive
61,en,"I never do this, but I'm beyond irritated. My brand new #htc #windows8 phone does not work!Barely a week old $ won't send or receive calls.",negative
62,en,"And then when you restart the PC, it then try's to install what isn't working in first place. #Windows8",negative
63,en,"@takiyudinson It's truly an awesome app! What kind of music do you listen to, Syafriz? #Windows8 ^enzo",positive
64,en,"Fun #Tech Fact #001: Since 2009, #Windows7 and #Windows8 have together sold more units than there are people in all of #Europe",neutral
65,en,"As a #Mac user, #Windows8 is figuratively the bane of my existence. Trying to do anything is nigh on impossible.",negative
